sheet,field_order,field_name,data_type,allowed_values,description_de
Uebungen,34,involved_muscle_mass_1_5,integer,1–5,Übungsspezifische Gesamtheit der beteiligten Muskelmasse.
Uebungen,35,whole_body_demand_1_5,integer,1–5,Ganzkörper- und systemische Anforderung.
Uebungen,36,loadability_1_5,integer,1–5,Wie gut die Übung progressiv schwer beladen werden kann.
Uebungen,37,scalability_1_5,integer,1–5,Wie leicht die Übung regressiert/progressiert werden kann.
Uebungen,38,stability_demand_1_5,integer,1–5,Anforderung an Stabilität und Gleichgewicht.
Uebungen,39,skill_demand_1_5,integer,1–5,Technische/koordinative Anforderung.
Uebungen,40,fatigue_cost_1_5,integer,1–5,Typische lokale und systemische Ermüdungskosten.
Uebungen,41,commonness_1_5,integer,1–5,Verbreitung und Bekanntheit der Übung.
Uebungen,42,difficulty_1_5,integer,1–5,Gesamtschwierigkeit.
Uebungen,43,difficulty_de,string,,Deutsche Schwierigkeitsklasse.
Uebungen,44,compound_score,integer,0–100,"Heuristik 0–100; Mechanik, Gelenke, Muskelmasse und Ganzkörperanforderung."
Uebungen,45,priority_score,integer,0–100,"Planungs-Heuristik 0–100; Compound, Beladbarkeit, Skalierbarkeit, Verbreitung, Technik und Ermüdung."
Uebungen,46,program_priority,string,,Lesbare Planungsrolle; für Cardio/Mobilität/Prehab gelten Sonderrollen.
Uebungen,47,unilateral,boolean,,TRUE bei einseitiger/asymmetrischer Ausführung.
Uebungen,48,bodyweight,boolean,,"TRUE, wenn Körpergewicht wesentliches Widerstandselement ist."
Uebungen,49,closed_chain,boolean,,Redaktionelle Kennzeichnung geschlossene kinetische Kette.
Uebungen,50,requires_coaching,boolean,,TRUE bei Varianten mit erhöhtem Technik-/Sicherheitsbedarf.
Uebungen,51,variant_level_1_3,integer,1–3,"1 Kernübung, 2 gängige Variante, 3 Spezial-/Nischenvariante."
Uebungen,52,variant_level_de,string,,Text der Variantenstufe.
Uebungen,53,training_goals,string,,"Typische Trainingsziele, mit | getrennt."
Uebungen,54,plan_eligible,boolean,,"FALSE für Mobilität, Prehab und Cardio; als erster Kraftplanfilter gedacht."
Uebungen,55,recommended_default_display,boolean,,"TRUE bei häufigen, nicht zu speziellen Varianten."
Uebungen,56,notes,string,,Redaktionelle Zusatzhinweise.
Uebungen,57,source_method,string,,Entstehungsmethode der Klassifikation.
Uebungen,58,license_note,string,,Lizenz-/Herkunftshinweis.
Uebungen,59,review_status,string,,Status der fachlichen Prüfung.
Uebungen,60,slug_de,string,,URL-/suchfreundlicher deutscher Slug.
Equipment,1,implies_equipment_ids,string,Equipment-IDs mit | getrennt,"Konservative Capability-Vererbung, z. B. verstellbare Bank erfüllt Flachbank."
Uebung_Equipment,1,is_primary_equipment,boolean,,Kennzeichnet das primäre Equipment; alle Zuordnungen der Übung bleiben erforderlich.
Uebung_Muskeln,1,role,string,primary / secondary,Rolle der Muskelgruppe in der Übung.
Uebung_Muskeln,2,contribution_weight_1_5,integer,1–5,"Redaktionelles Standardgewicht für App-Auswertungen; primär = 5, sekundär = 3."
Presets,1,equipment_ids,string,Equipment-IDs mit | getrennt,Ausstattungsprofil; Verfügbarkeit wird zusätzlich um default_available und Implikationen erweitert.
